mes_referencia,loja,faturamento_liquido_mensal,FAT_BRUTO_POS_MES,TOTAL_DESCONTOS_POS,TOTAL_REG_NEG_VALOR,QTD_TRANSACOES,QTD_REG_NEG,QTD_ALTO_VALOR,QTD_INCONSIST_FINANCEIRA,TICKET_MEDIO_POS,TICKET_MEDIano_POS,TAXA_REG_NEG_PCT,TAXA_DESCONTO_PCT,PCT_QTD_REG_NEG,PCT_QTD_ALTO_VALOR,PCT_INCONSIST_FINANCEIRA,ano,mes,trimestre,indice_tempo,lag_1_mes,lag_2_meses,lag_3_meses,media_movel_3m,taxa_crescimento,mes_seno,mes_cosseno
2022-01-01,CASTING_DB063,10359240.33,10412906.72,14523.96,-39142.43000000001,111828,318,298,0,114.05612390176488,99.99,0.3759030120265977,0.13948036211737042,0.2843652752441249,0.26648066673820514,0.0,2022,1,1,1,,,,,,0.49999999999999994,0.8660254037844387
2022-02-01,CASTING_DB063,10980198.36,11033972.010000002,19952.95,-33820.7,107689,285,409,0,116.06410238576969,99.99,0.30651428125201485,0.18083197947137078,0.2646509857088468,0.3797973794909415,0.0,2022,2,1,2,10359240.33,,,10359240.33,5.994242919548132,0.8660254037844386,0.5000000000000001
2022-03-01,CASTING_DB063,13205997.56,13275769.21,21261.2,-48510.45,122772,422,529,0,122.10846923452513,99.99,0.36540594546837557,0.1601504188848429,0.3437265826084124,0.430880005212915,0.0,2022,3,1,3,10980198.36,10359240.33,,10669719.344999999,20.271029056345768,1.0,6.123233995736766e-17
2022-04-01,CASTING_DB063,16111945.790000001,16206681.09,29943.1,-64905.590000000004,129551,424,885,3,140.16732703121883,129.99,0.4004866242481236,0.1847577541244751,0.32728423555202196,0.6831286520366496,0.002315690345886948,2022,4,2,4,13205997.56,10980198.36,10359240.33,11515145.416666666,22.004761221536985,0.8660254037844387,-0.4999999999999998
2022-05-01,CASTING_DB063,22810386.07,22925904.389999997,43402.29,-72116.05,170512,437,1447,0,152.7781628565324,149.99,0.3145614182682196,0.18931549770804923,0.2562869475462138,0.8486206249413532,0.0,2022,5,2,5,16111945.790000001,13205997.56,10980198.36,13432713.903333334,41.574372005133206,0.49999999999999994,-0.8660254037844387
2022-06-01,CASTING_DB063,20468268.66,20603058.019999996,46868.46,-87923.9,150598,534,1553,2,156.26619251060464,149.99,0.42675169828988335,0.22748302681331772,0.3545863822892734,1.0312221941858457,0.0013280388849785522,2022,6,2,6,22810386.07,16111945.790000001,13205997.56,17376109.80666667,-10.267767510872295,1.2246467991473532e-16,-1.0
2022-07-01,CASTING_DB063,15679438.790000001,15813916.139999999,31100.86,-103376.49,124029,711,802,0,143.82007727355563,137.20499999999998,0.6537058188801045,0.19666766741814784,0.5732530295334156,0.6466229672092817,0.0,2022,7,3,7,20468268.66,22810386.07,16111945.790000001,19796866.84,-23.396360237143764,-0.4999999999999997,-0.8660254037844388
2022-08-01,CASTING_DB063,16309237.280000001,16398593.589999998,39160.01,-50196.3,126824,356,840,0,147.15293803351534,139.99,0.3061012502353259,0.2388010275703162,0.2807039677032738,0.662335204693118,0.0,2022,8,3,8,15679438.790000001,20468268.66,22810386.07,19652697.84,4.016715766648948,-0.8660254037844385,-0.5000000000000004
2022-09-01,CASTING_DB063,15128928.49,15206287.240000002,33660.05,-43698.700000000004,114218,336,729,0,149.53704949538752,149.99,0.2873725802380674,0.22135613689749029,0.294174298271726,0.6382531650002626,0.0,2022,9,3,9,16309237.280000001,15679438.790000001,20468268.66,17485648.243333336,-7.237056949606169,-1.0,-1.8369701987210297e-16
2022-10-01,CASTING_DB063,17460713.27,17540602.149999995,32262.04,-47626.84,138177,360,709,0,143.0829085931435,129.99,0.271523403773228,0.1839277792410337,0.26053540024750865,0.5131099965985656,0.0,2022,10,4,10,15128928.49,16309237.280000001,15679438.790000001,15705868.186666667,15.412755645856047,-0.8660254037844386,0.5000000000000001
2022-11-01,CASTING_DB063,16600863.66,16667958.750000004,26236.719999999998,-40858.37,135369,332,788,0,137.67028755552982,127.39,0.24513121620246386,0.1574081169357345,0.24525556072660654,0.5821125959414637,0.0,2022,11,4,11,17460713.27,15128928.49,16309237.280000001,16299626.34666667,-4.924481587343532,-0.5000000000000004,0.8660254037844384
2022-12-01,CASTING_DB063,41965741.9,42156085.34000001,64551.509999999995,-125791.94,355924,928,2362,0,132.9431635466642,119.99,0.29839568590265114,0.15312501025504371,0.26072981872534584,0.6636248187815376,0.0,2022,12,4,12,16600863.66,17460713.27,15128928.49,16396835.14,152.7925218801538,-2.4492935982947064e-16,1.0
2023-01-01,CASTING_DB063,12049560.66,12106694.669999998,21397.89,-35736.119999999995,110035,285,534,0,133.5746140412927,119.99,0.29517651988492744,0.17674427730488063,0.2590084972963148,0.485300131776253,0.0,2023,1,1,13,41965741.9,16600863.66,17460713.27,25342439.61,-71.28714967386291,0.49999999999999994,0.8660254037844387
2023-02-01,CASTING_DB063,11120245.25,11201280.86,39373.73,-41661.880000000005,92765,337,536,0,137.33506158105197,119.99,0.37193853560779305,0.3515109610420036,0.3632835660001078,0.5778041287123377,0.0,2023,2,1,14,12049560.66,41965741.9,16600863.66,23538722.073333334,-7.712442272563324,0.8660254037844386,0.5000000000000001
2023-03-01,CASTING_DB063,14083482.280000001,14179699.32,51944.42,-44272.62,113782,324,764,0,140.02988274474433,119.99,0.31222537940247386,0.3663294885719763,0.28475505791777256,0.6714594575591921,0.0,2023,3,1,15,11120245.25,12049560.66,41965741.9,21711849.27,26.647227317221265,1.0,6.123233995736766e-17
2023-04-01,CASTING_DB063,15382209.46,15481810.209999999,52992.16,-46608.6,108523,324,1185,0,159.30304030892495,149.99,0.3010539424510876,0.34228658846218996,0.2985542235286529,1.091934428646462,0.0,2023,4,2,16,14083482.280000001,11120245.25,12049560.66,12417762.729999999,9.221633926747842,0.8660254037844387,-0.4999999999999998
2023-05-01,CASTING_DB063,19023703.25,19119270.13,44759.81,-50807.100000000006,132809,331,1401,0,164.3490091417444,149.99,0.2657376544948685,0.2341083613320965,0.24923009735785978,1.0548983879104579,0.0,2023,5,2,17,15382209.46,14083482.280000001,11120245.25,13528645.663333334,23.67341180387228,0.49999999999999994,-0.8660254037844387
2023-06-01,CASTING_DB063,19808645.85,19939405.269999996,57338.810000000005,-73667.54999999999,135175,416,1837,15,167.1091579955958,149.99,0.3694571076843357,0.28756529707668665,0.3077492139818754,1.3589791011651562,0.011096726465692621,2023,6,2,18,19023703.25,15382209.46,14083482.280000001,16163131.663333334,4.126129332888961,1.2246467991473532e-16,-1.0
2023-07-01,CASTING_DB063,15510171.31,15929745.89,385578.36,-33996.22,111957,251,1411,0,155.91878678756996,142.49,0.21341344824176603,2.420492848175621,0.2241932170386845,1.2603052957832026,0.0,2023,7,3,19,19808645.85,19023703.25,15382209.46,18071519.52,-21.699991875012504,-0.4999999999999997,-0.8660254037844388
