loja,mes_referencia,PREVISAO
CASTING_DB063,2023-10-01,17385034.69418186
CASTING_DB063,2023-11-01,17669032.111270282
CASTING_DB063,2023-12-01,21202838.53352434
CASTING_DB069,2023-10-01,2743594.896
CASTING_DB069,2023-11-01,2883288.7028383478
CASTING_DB069,2023-12-01,2971700.146826856
CASTING_DB088,2023-10-01,7106058.574171299
CASTING_DB088,2023-11-01,6948581.8026898885
CASTING_DB088,2023-12-01,6924094.807211629
CASTING_DB092,2023-10-01,5058566.755845961
CASTING_DB092,2023-11-01,4873889.098368809
CASTING_DB092,2023-12-01,5080341.613395465
CASTING_DB101,2023-10-01,5329130.017174142
CASTING_DB101,2023-11-01,5460374.81238081
CASTING_DB101,2023-12-01,5329781.957878441
CASTING_DB102,2023-10-01,6912015.63979767
CASTING_DB102,2023-11-01,6938625.383932149
CASTING_DB102,2023-12-01,6923886.717111176
CASTING_DB109,2023-10-01,17713909.482264698
CASTING_DB109,2023-11-01,18043429.58326145
CASTING_DB109,2023-12-01,21652115.499913737
CASTING_DB113,2023-10-01,27359599.70627868
CASTING_DB113,2023-11-01,28391485.84219976
CASTING_DB113,2023-12-01,34069783.01063971
