mes_referencia,loja,faturamento_liquido_mensal,FAT_BRUTO_POS_MES,TOTAL_DESCONTOS_POS,TOTAL_REG_NEG_VALOR,QTD_TRANSACOES,QTD_REG_NEG,QTD_ALTO_VALOR,QTD_INCONSIST_FINANCEIRA,TICKET_MEDIO_POS,TICKET_MEDIano_POS,TAXA_REG_NEG_PCT,TAXA_DESCONTO_PCT,PCT_QTD_REG_NEG,PCT_QTD_ALTO_VALOR,PCT_INCONSIST_FINANCEIRA
2022-01-01,LOJA_001,10359240.33,10412906.72,14523.96,-39142.43000000001,111828,318,298,0,114.05612390176488,99.99,0.3759030120265977,0.1394803621173704,0.2843652752441249,0.2664806667382051,0.0
2022-02-01,LOJA_001,10980198.36,11033972.010000002,19952.95,-33820.7,107689,285,409,0,116.06410238576969,99.99,0.3065142812520148,0.1808319794713707,0.2646509857088468,0.3797973794909415,0.0
2022-03-01,LOJA_001,13205997.56,13275769.21,21261.2,-48510.45,122772,422,529,0,122.10846923452512,99.99,0.3654059454683755,0.1601504188848429,0.3437265826084124,0.430880005212915,0.0
2022-04-01,LOJA_001,16111945.79,16206681.09,29943.1,-64905.59,129551,424,885,3,140.16732703121883,129.99,0.4004866242481236,0.1847577541244751,0.3272842355520219,0.6831286520366496,0.0023156903458869
2022-05-01,LOJA_001,22810386.07,22925904.39,43402.29,-72116.05,170512,437,1447,0,152.7781628565324,149.99,0.3145614182682196,0.1893154977080492,0.2562869475462138,0.8486206249413532,0.0
2022-06-01,LOJA_001,20468268.66,20603058.02,46868.46,-87923.9,150598,534,1553,2,156.26619251060464,149.99,0.4267516982898833,0.2274830268133177,0.3545863822892734,1.0312221941858457,0.0013280388849785
2022-07-01,LOJA_001,15679438.79,15813916.14,31100.86,-103376.49,124029,711,802,0,143.82007727355565,137.20499999999998,0.6537058188801045,0.1966676674181478,0.5732530295334156,0.6466229672092817,0.0
2022-08-01,LOJA_001,16309237.28,16398593.589999998,39160.01,-50196.3,126824,356,840,0,147.15293803351534,139.99,0.3061012502353259,0.2388010275703162,0.2807039677032738,0.662335204693118,0.0
2022-09-01,LOJA_001,15128928.49,15206287.240000002,33660.05,-43698.7,114218,336,729,0,149.53704949538752,149.99,0.2873725802380674,0.2213561368974902,0.294174298271726,0.6382531650002626,0.0
2022-10-01,LOJA_001,17460713.27,17540602.149999995,32262.04,-47626.84,138177,360,709,0,143.0829085931435,129.99,0.271523403773228,0.1839277792410337,0.2605354002475086,0.5131099965985656,0.0
2022-11-01,LOJA_001,16600863.66,16667958.750000004,26236.72,-40858.37,135369,332,788,0,137.67028755552982,127.39,0.2451312162024638,0.1574081169357345,0.2452555607266065,0.5821125959414637,0.0
2022-12-01,LOJA_001,41965741.9,42156085.34000001,64551.51,-125791.94,355924,928,2362,0,132.9431635466642,119.99,0.2983956859026511,0.1531250102550437,0.2607298187253458,0.6636248187815376,0.0
2023-01-01,LOJA_001,12049560.66,12106694.669999998,21397.89,-35736.119999999995,110035,285,534,0,133.5746140412927,119.99,0.2951765198849274,0.1767442773048806,0.2590084972963148,0.485300131776253,0.0
2023-02-01,LOJA_001,11120245.25,11201280.86,39373.73,-41661.880000000005,92765,337,536,0,137.33506158105197,119.99,0.371938535607793,0.3515109610420036,0.3632835660001078,0.5778041287123377,0.0
2023-03-01,LOJA_001,14083482.28,14179699.32,51944.42,-44272.62,113782,324,764,0,140.02988274474433,119.99,0.3122253794024738,0.3663294885719763,0.2847550579177725,0.6714594575591921,0.0
2023-04-01,LOJA_001,15382209.46,15481810.21,52992.16,-46608.6,108523,324,1185,0,159.30304030892495,149.99,0.3010539424510876,0.3422865884621899,0.2985542235286529,1.091934428646462,0.0
2023-05-01,LOJA_001,19023703.25,19119270.13,44759.81,-50807.100000000006,132809,331,1401,0,164.3490091417444,149.99,0.2657376544948685,0.2341083613320965,0.2492300973578597,1.054898387910458,0.0
2023-06-01,LOJA_001,19808645.85,19939405.27,57338.810000000005,-73667.54999999999,135175,416,1837,15,167.1091579955958,149.99,0.3694571076843357,0.2875652970766866,0.3077492139818754,1.3589791011651562,0.0110967264656926
2023-07-01,LOJA_001,15510171.31,15929745.89,385578.36,-33996.22,111957,251,1411,0,155.91878678756996,142.49,0.213413448241766,2.420492848175621,0.2241932170386845,1.2603052957832026,0.0
2023-08-01,LOJA_001,16130857.36,16279111.47,74470.39,-73783.72,129097,488,1175,0,144.472745979102,129.99,0.4532416903463835,0.4574597952550293,0.3780103333152591,0.9101683230439128,0.0
2023-09-01,LOJA_001,16689336.22,16784272.409999996,45609.58,-49326.65,132060,334,1061,2,141.8218262925118,129.99,0.2938861381361482,0.2717399889960438,0.2529153415114342,0.8034226866575799,0.0015144631228229
2022-01-01,LOJA_002,1354249.31,2090413.03,691549.4199999999,-44614.3,3547,96,31,0,405.3502202260215,260.0,2.1342337308335666,33.081951273524155,2.7065125458133634,0.8739780095855653,0.0
2022-02-01,LOJA_002,1438105.66,2215810.97,743070.3300000001,-34634.98,3864,72,18,0,388.38097046413503,249.5,1.5630836957179608,33.53491520984753,1.8633540372670807,0.4658385093167702,0.0
2022-03-01,LOJA_002,1919536.59,3315957.42,1346979.04,-49441.79,4950,105,38,0,406.3938864809081,269.0,1.491026081993538,40.62111991775817,2.121212121212121,0.7676767676767676,0.0
2022-04-01,LOJA_002,1755679.76,3089331.5300000003,1280969.34,-52682.43,4497,92,26,0,410.5249012485812,270.0,1.7053019233581577,41.4642885543592,2.0458083166555485,0.578163219924394,0.0
2022-05-01,LOJA_002,1874773.84,3199808.99,1267387.74,-57647.41,4833,135,26,0,411.328490847169,272.495,1.8015891004794005,39.6082311150704,2.793296089385475,0.5379681357334989,0.0
2022-06-01,LOJA_002,1596889.29,2551446.58,891506.6799999999,-63050.61,3952,117,40,0,432.83960886571055,290.0,2.471171079740968,34.941224597381144,2.960526315789473,1.0121457489878545,0.0
2022-07-01,LOJA_002,1935183.62,3161841.15,1158238.39,-68419.14,4757,107,37,0,430.88231397849466,260.0,2.1639018772337755,36.63177038479622,2.249316796300189,0.7778011351692242,0.0
2022-08-01,LOJA_002,1843407.31,3095234.18,1195084.4700000002,-56742.4,4402,112,32,0,442.9253403263403,292.5,1.8332183188801567,38.61047017773629,2.5442980463425715,0.7269422989550204,0.0
2022-09-01,LOJA_002,1579122.79,2541105.94,912868.02,-49115.13,3853,94,25,0,433.1572013833466,270.0,1.9328249651803184,35.924044158505254,2.439657409810537,0.6488450558006749,0.0
2022-10-01,LOJA_002,1750577.52,2798770.46,989792.76,-58400.18,4254,124,39,0,438.0091283292978,268.3,2.086637001306638,35.36527107692854,2.914903620122238,0.9167842031029618,0.0
2022-11-01,LOJA_002,1940957.23,3103042.48,1113963.82,-48121.43,4633,93,27,0,438.1230528634361,268.0,1.5507821858758442,35.89908379211103,2.007338657457371,0.5827757392618175,0.0
2022-12-01,LOJA_002,1729156.74,2640300.6100000003,851002.59,-60141.280000000006,4420,116,17,0,415.729093866171,275.0,2.27781941844872,32.23127649847416,2.6244343891402715,0.3846153846153846,0.0
2023-01-01,LOJA_002,1590605.5,2577863.15,930547.65,-56710.0,3892,115,30,0,436.143897272968,268.0,2.1998840396163,36.09763574920569,2.9547790339157243,0.7708119218910586,0.0
2023-02-01,LOJA_002,1636447.17,2681296.46,1001976.84,-42872.45,3701,82,44,0,464.028632218845,276.75,1.5989447880746466,37.36911807208368,2.215617400702513,1.18886787354769,0.0
2023-03-01,LOJA_002,1950962.21,3506023.08,1442243.08,-112817.79,4757,159,64,0,448.8429752066116,240.0,3.217827932838366,41.13615475685916,3.342442715997477,1.3453857473197397,0.0
2023-04-01,LOJA_002,1797407.43,3147231.09,1302746.35,-47077.31,4243,93,48,0,444.4541542168674,240.0,1.4958326431631686,41.39341258223273,2.19184539241103,1.1312750412444026,0.0
2023-05-01,LOJA_002,2032124.87,3570433.95,1469671.84,-68637.23999999999,4513,130,65,0,479.2977663700663,306.0,1.922378090764009,41.16227496660456,2.8805672501661865,1.4402836250830933,0.0
2023-06-01,LOJA_002,1812723.37,2886254.21,1018513.43,-55017.41,3772,94,61,0,507.81424143556274,319.0,1.906187258536732,35.28841730126051,2.4920466595970305,1.6171792152704134,0.0
2023-07-01,LOJA_002,2150647.16,4253241.29,1959525.75,-143068.38,6109,534,74,0,411.428796412556,239.99,3.363749438254889,46.07135162087172,8.741201505974791,1.211327549517106,0.0
2023-08-01,LOJA_002,2731531.94,4468006.19,1634896.41,-101577.84,5445,157,95,0,535.7620612708018,350.0,2.2734489541967258,36.59118498222134,2.8833792470156103,1.7447199265381086,0.0
2023-09-01,LOJA_002,2286329.08,3990481.23,1637993.91,-66158.23999999999,5157,116,70,0,466.6707637373536,299.0,1.6579012952781136,41.04752824510843,2.2493697886368045,1.357378320729106,0.0
2022-01-01,LOJA_003,6375231.42,6468599.51,0.0,-93368.09,11043,131,100,131,592.7968759164223,399.5,1.4434050192110286,0.0,1.1862718464185458,0.9055510278004166,1.1862718464185458
2022-02-01,LOJA_003,6385675.11,6491866.290000001,0.0,-106191.18,11864,171,85,171,555.1925331394852,360.0,1.6357573501409866,0.0,1.4413351314902223,0.7164531355360756,1.4413351314902223
2022-03-01,LOJA_003,7199061.09,7351712.229999999,0.0,-152651.14,12484,224,126,224,599.6991785626886,407.07,2.0764025471111243,0.0,1.7942966997757128,1.0092918936238384,1.7942966997757128
