loja,mes_referencia,PREVISAO
LOJA_001,2023-10-01,17385034.69418186
LOJA_001,2023-11-01,17669032.111270282
LOJA_001,2023-12-01,21202838.53352434
LOJA_002,2023-10-01,2743594.896
LOJA_002,2023-11-01,2883288.702838348
LOJA_002,2023-12-01,2971700.146826856
LOJA_003,2023-10-01,7106058.574171299
LOJA_003,2023-11-01,6948581.8026898885
LOJA_003,2023-12-01,6924094.807211629
LOJA_004,2023-10-01,5058566.755845961
LOJA_004,2023-11-01,4873889.098368809
LOJA_004,2023-12-01,5080341.613395465
LOJA_005,2023-10-01,5329130.017174142
LOJA_005,2023-11-01,5460374.81238081
LOJA_005,2023-12-01,5329781.957878441
LOJA_006,2023-10-01,6912015.63979767
LOJA_006,2023-11-01,6938625.383932149
LOJA_006,2023-12-01,6923886.717111176
LOJA_007,2023-10-01,17713909.482264698
LOJA_007,2023-11-01,18043429.58326145
LOJA_007,2023-12-01,21652115.499913737
LOJA_008,2023-10-01,27359599.70627868
LOJA_008,2023-11-01,28391485.84219976
LOJA_008,2023-12-01,34069783.01063971
