CLV_BANCO,PERIODO_MES,PREVISAO
CASTING_DB063,2023-10-01,17300293.82035366
CASTING_DB063,2023-11-01,17568677.976715572
CASTING_DB063,2023-12-01,21082413.572058685
CASTING_DB069,2023-10-01,2743594.896
CASTING_DB069,2023-11-01,2863934.8315352784
CASTING_DB069,2023-12-01,2951585.75437104
CASTING_DB088,2023-10-01,7113787.847921162
CASTING_DB088,2023-11-01,6950564.254535721
CASTING_DB088,2023-12-01,6923306.276312142
CASTING_DB092,2023-10-01,5065616.093328159
CASTING_DB092,2023-11-01,4879910.422884872
CASTING_DB092,2023-12-01,5087198.172056962
CASTING_DB101,2023-10-01,5332792.606246282
CASTING_DB101,2023-11-01,5460496.13287648
CASTING_DB101,2023-12-01,5327190.368680663
CASTING_DB102,2023-10-01,6911227.1088981815
CASTING_DB102,2023-11-01,6940607.835777983
CASTING_DB102,2023-12-01,6926039.432237817
CASTING_DB109,2023-10-01,17902147.622523174
CASTING_DB109,2023-11-01,18056910.081981912
CASTING_DB109,2023-12-01,21668292.098378293
CASTING_DB113,2023-10-01,27561236.91751826
CASTING_DB113,2023-11-01,28853114.869038355
CASTING_DB113,2023-12-01,34623737.84284602
